step 231: dis loss 0.322304, dis acc 0.000000, gan loss 0.327487, gan acc 0.000000
step 232: dis loss 0.337761, dis acc 0.000000, gan loss 0.347032, gan acc 0.000000
step 233: dis loss 0.342889, dis acc 0.000000, gan loss 0.333153, gan acc 0.000000
step 234: dis loss 0.331089, dis acc 0.000000, gan loss 0.352984, gan acc 0.000000
step 235: dis loss 0.351176, dis acc 0.000000, gan loss 0.348981, gan acc 0.000000
step 236: dis loss 0.351149, dis acc 0.000000, gan loss 0.339129, gan acc 0.000000
step 237: dis loss 0.317625, dis acc 0.000000, gan loss 0.330897, gan acc 0.000000
step 238: dis loss 0.318645, dis acc 0.000000, gan loss 0.327154, gan acc 0.000000
step 239: dis loss 0.331418, dis acc 0.000000, gan loss 0.327302, gan acc 0.000000
step 240: dis loss 0.317949, dis acc 0.000000, gan loss 0.333042, gan acc 0.000000
step 241: dis loss 0.342696, dis acc 0.000000, gan loss 0.330439, gan acc 0.000000
step 242: dis loss 0.349616, dis acc 0.000000, gan loss 0.354994, gan acc 0.000000
step 243: dis loss 0.342460, dis acc 0.000000, gan loss 0.358142, gan acc 0.000000
step 244: dis loss 0.323423, dis acc 0.000000, gan loss 0.320194, gan acc 0.000000
step 245: dis loss 0.312999, dis acc 0.000000, gan loss 0.336277, gan acc 0.000000
step 246: dis loss 0.308866, dis acc 0.000000, gan loss 0.317379, gan acc 0.000000
step 247: dis loss 0.349630, dis acc 0.000000, gan loss 0.367065, gan acc 0.000000
step 248: dis loss 0.328495, dis acc 0.000000, gan loss 0.338261, gan acc 0.000000
step 249: dis loss 0.327319, dis acc 0.000000, gan loss 0.323909, gan acc 0.000000
step 250: dis loss 0.315227, dis acc 0.000000, gan loss 0.321392, gan acc 0.000000
step 251: dis loss 0.353582, dis acc 0.000000, gan loss 0.365111, gan acc 0.000000
step 252: dis loss 0.323055, dis acc 0.000000, gan loss 0.307785, gan acc 0.000000
step 253: dis loss 0.333730, dis acc 0.000000, gan loss 0.329205, gan acc 0.000000
step 254: dis loss 0.332969, dis acc 0.000000, gan loss 0.334091, gan acc 0.000000
step 255: dis loss 0.334893, dis acc 0.000000, gan loss 0.338660, gan acc 0.000000
step 256: dis loss 0.319358, dis acc 0.000000, gan loss 0.317675, gan acc 0.000000
step 257: dis loss 0.320100, dis acc 0.000000, gan loss 0.339428, gan acc 0.000000
